name,sub_title,color,price,currency,description,avg_rating,review_count,parsed_sizes,dominant_color
nike dri-fit team (mlb minnesota twins),men's long-sleeve t-shirt,Navy,40.0,USD,"sweat-wicking comfort.the nike dri-fit team (mlb minnesota twins) t-shirt layers you in lightweight fabric with sweat-wicking technology to help keep you cool and dry as you rep your favorite team.benefitsnike dri-fit technology helps you stay dry, comfortable and focused.jersey fabric has a soft, lightweight feel.product details100% polyestermachine washimportedshown: navystyle: nkay44bmtf-kt6",4.77391304347826,0.0,"['S', 'M', 'L', 'XL', '2XL']",Navy
club américa,women's nike dri-fit soccer jersey dress,Black/Black,90.0,USD,"inspired by traditional soccer jerseys, the club américa jersey dress is an effortless look you can easily throw on and go.keep coolnike dri-fit technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.stash and goside pockets let you store your essentials when you're on the move.streetwear flairjersey details pair with a flowy design for casual team pride.product detailsstandard fit for a relaxed, easy feel100% polyestermachine washimportedshown: black/blackstyle: cw0788-010",5.0,1.0,['L (12–14)'],Black
nike sportswear swoosh,men's overalls,Black/White,140.0,USD,"working hard to keep you comfortable.the nike sportswear swoosh overalls feature a woven twill fabric that's both soft and durable. snaps at the side and a reversible pocket at the chest provide styling options--wear them up over the shoulder or down at the waist as pants.pockets for daysthe zippered chest pocket features an envelope-style enclosure on the reverse side to be used when overalls are worn as pants.utility with a classic feela tapered leg and zip fly and snap close give this hardworking style a refined, familiar feel.2 styles, 1 designside snaps secure the upper material and straps allowing you to wear this style as pants or overalls. an adjustable buckle shoulder design lets you adjust the fit on the fly.more benefitsutility cargo pockets on legs and back pocket provide secure storage.embroidered swoosh details on chest and back show love for the brand.product detailsstandard fit for a relaxed, easy feel49% nylon/46% cotton/5% spandexmachine washimportedshown: black/whitestyle: cu3896-010",4.9,11.0,[],Black
nike dri-fit one luxe,big kids' (girls') printed tights (extended size),Black/Rush Pink,22.97,USD,"elevated comfort goes full bloom.the nike dri-fit one luxe leggings (extended size) are our most versatile pair yet—made with silky soft fabric for playtime (or anytime!). part of the nike luxe line, they’re super comfy and lightweight, like an all-day hug. adding a colorful floral print just makes these that much better. this product is made with at least 75% recycled polyester fibers.luxe is morenike one luxe is our most versatile legging, taken to the next level with soft, smooth fabric that feels like an all-day hug.play hard, stay drynike dri-fit technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.move with confidencea high-rise waistband and v-shaped back panel follow your body's natural lines so you can stretch, stride and climb confidently.more benefitsan elastic waistband provides a snug fit.product detailstight fit for a body-hugging feelbody: 88% polyester/12% spandex. gusset lining: 100% polyester.machine washimportedshown: black/rush pinkstyle: dm8445-010",4.77391304347826,0.0,[],Black
paris saint-germain repel academy awf,big kids' soccer jacket,Dark Grey/Black/Siren Red/Siren Red,70.0,USD,"water-repellent coverage gets psg details.the paris saint-germain repel academy awf jacket is a lightweight, water-repellent layer that's perfect for days when you want to play through the rain, but breathable where it matters when things heat up. this product is made with at least 75% recycled polyester fibers.benefitslightweight water-repellent fabric helps you stay dry in light rain.zippered side pockets secure your essentials.high-heat zones are perforated for ventilation while you play.product detailsstandard fit for a relaxed, easy feelbody: 100% polyestermachine washimportedshown: dark grey/black/siren red/siren redstyle: db8165-025",4.77391304347826,0.0,"['XS', 'S', 'M', 'L', 'XL']",Dark Grey
nfl miami dolphins (mike gesicki),men's game football jersey,White,130.0,USD,"highlight your loyalty to your team.rep your team and favorite player with the nfl miami dolphins jersey. proper ventilation and a loose, roomy fit help keep you comfortable on game day.benefitsscreen-printed name, number and team mark offer lightweight durability.ventilation over major heat zones helps keep you cool.product detailsloose fit for a roomy feelnfl shield at v-necktagless neck labelwoven jock tag100% polyestermachine washimportedshown: whitestyle: 67nmdg2a9pf-2lf",4.77391304347826,0.0,"['S', 'M', 'L', 'XL', '2XL']",White
kristaps porziņģis knicks icon edition,nike nba swingman jersey,Rush Blue,104.99,USD,"the heart of your team's identity.the icon edition jersey represents the team's true colours, reflected in a distinct, instantly recognisable design. directly inspired by what the pros wear, this new york knicks icon edition nike nba swingman jersey is made from premium double-knit fabric, with classic jersey construction and a fit that looks good from all angles.the only jersey with built-in dropsyour nike nba connected jersey gives you next-level access to athletes, exclusive offers and the game you love. download the nikeconnect app, then tap your smartphone to the tag at the bottom of your jersey to get started.made from sustainable materialseach nike nba connected jersey is made from 100% recycled polyester. the premium material comes from plastic bottles that nike has diverted from landfills since 2012—nearly 5 billion and counting.product detailsconnect to the game for the 2019–2020 season with your nike nba jersey.machine wash100% recycled polyesterimportedheat-applied graphicsproduct details
heat-applied twill name and number
authentic logos and colours
fabric: 100% recycled polyester
machine wash
importedcolour shown: rush bluestyle: 864495-495country/region of origin: thailand,guatemala",5.0,3.0,[],Rush Blue
nike college (oregon),men's max 90 t-shirt,White,18.97,USD,"with a roomy fit and '90s-style detailing, this soft oregon t-shirt shows your love for the ducks in a big way.product detailsloose fit for a roomy feel50-100% cotton/0-50% polyestermaterial percentages may vary. check label for actual content.machine washimportedshown: whitestyle: dn5357-100",4.77391304347826,0.0,"['S', 'M', 'L', 'XL', '2XL']",White
nike sportswear,men's logo t-shirt,Redstone,28.97,USD,"swoosh details.keep it classic in the nike sportswear t-shirt. thick, comfortable cotton pairs with an embroidered nike logo for a look that'll keep you groovin' all day.product detailsstandard fit for a relaxed, easy feel100% cottonmachine washimportedshown: redstonestyle: dq3511-670",5.0,1.0,['S'],Redstone
nike therma crucial catch (nfl miami dolphins),men's pullover hoodie,Black,85.0,USD,"warm, breathable fleece.the nike therma crucial catch (nfl miami dolphins) hoodie is built with sweat-wicking fleece to help manage your body’s natural heat and keep you warm. the chest is designed with the crucial catch pattern and logo to help strengthen the support of a great cause.benefitsnike therma fabric helps keep you warm.the hood and adjustable drawstring help provide extra coverage.product detailsfront pocket100% polyestermachine washimportedshown: blackstyle: ns5700azuj-8up",4.77391304347826,0.0,"['S', 'M', 'L', 'XL', '2XL']",Black
nike sportswear tech fleece,little kids' joggers,Aegean Storm,45.97,USD,"the perfect fit for kids on the go.the nike sportswear tech fleece pants draw inspiration from athletic designs with a slim, tapered fit that allows little ones to move naturally.benefitsnike tech fleece fabric offers the ultimate in lightweight warmth.moisture-wicking zip media pocket offers a safe place to store valuables.product details67% cotton/33% polyestermachine washimportedshown: aegean stormstyle: 86b203-u7d",4.77391304347826,0.0,[],Aegean Storm
paris saint-germain strike,big kids' nike dri-fit short-sleeve soccer top,White/Midnight Navy/University Red/Midnight Navy,45.0,USD,"elevate your training.the paris saint-germain strike top has design details specifically tailored for soccer’s rising stars. a slim, streamlined fit ensures that nothing comes between you and the ball, and sweat-wicking fabric helps keep you cool and composed while fine-tuning your skills. this product is made with 100% recycled polyester fibers.benefitsnike dri-fit technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.signature crest and colors let you show your psg pride wherever you go.product detailsslim fit for a tailored feel100% polyestermachine washimportedshown: white/midnight navy/university red/midnight navystyle: dj8722-101",4.77391304347826,0.0,"['XS', 'S', 'M', 'L', 'XL']",White
croatia 2022/23 stadium away,women's nike dri-fit soccer jersey,Blackened Blue/University Red,95.0,USD,"like other jerseys from our stadium collection, this one pairs replica design details with sweat-wicking fabric to give you a game-ready look inspired by your favorite team.benefitsnike dri-fit technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.replica design is modeled after what the pros wear on the field.product detailsslim fit for a tailored feel100% polyestermachine washimportedshown: blackened blue/university redstyle: dn0759-498",4.77391304347826,0.0,[],Blackened Blue
nike therma lockup (nfl kansas city chiefs),men's full-zip hoodie,Silver/Red,95.0,USD,"essential outer layer.the nike therma lockup (nfl kansas city chiefs) hoodie combines sweat-wicking technology with soft, 2-way stretch fabric and a full-zip closure to help you stay dry and warm on game day.benefitsnike therma fabric helps keep you warm.nike dri-fit technology helps you stay dry, comfortable and focused.product detailshood with adjustable drawstring2 front pockets100% polyestermachine washimportedshown: silver/redstyle: ns4711r57g-5p9",4.77391304347826,0.0,"['S', 'M', 'L', 'XL', '2XL']",Silver
nike dri-fit primetime logo (mlb san francisco giants),men's shorts,Black,45.0,USD,"team-inspired performance.finished with a team logo at the hem, the nike dri-fit primetime (mlb san francisco giants) shorts are designed with sweat-wicking technology for a dry, comfortable wear. their elastic waistband and 2-way stretch fabric help create a flexible fit.benefitsnike dri-fit technology helps you stay dry, comfortable and focused.mesh paneling helps create a lightweight, breathable feel.product details2 side pockets100% polyestermachine washimportedshown: blackstyle: nmma088ngia-0lh",4.77391304347826,0.0,[],Black
nike city connect wordmark (mlb kansas city royals),men's t-shirt,Navy,30.0,USD,"show your pride in your city.made with soft cotton fabric for all-day comfort, the nike city connect wordmark (mlb kansas city royals) t-shirt is designed with special colors and graphics to help showcase your love for your team and city.product details100% cottonmachine washimportedshown: navystyle: n19944broy-0a3",4.77391304347826,0.0,['S'],Navy
nike college therma (michigan state),women's long-sleeve 1/2-zip fleece,Grey Heather/White/Pro Green,40.97,USD,"cozy comfort to rep your team.stay comfortable while showing love for your school in the nike college therma (michigan state) fleece, featuring soft fleece and a 1/2-zip design to change up the look.benefitsnike therma fabric helps keep you warm.fleece is soft and comfortable.elastic cuffs and waistband provide a snug fit.product detailsstandard fit for a relaxed, easy feelfront pocket1/2-length zipperbody: 100% polyester. pocket bags: 100% recycled polyester.machine washimportedshown: grey heather/white/pro greenstyle: cq6852-050",4.77391304347826,0.0,[],Grey Heather
portugal 2022/23 stadium home,men's nike dri-fit soccer shorts,Gorge Green/Pepper Red/Gold Dart,52.0,USD,"like other shorts from our stadium collection, these ones pair replica design details with sweat-wicking fabric to give you a game-ready look inspired by your favorite team.benefitsnike dri-fit technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.replica design is modeled after what the pros wear on the field.product detailsslim fit for a tailored feelelastic waistband with internal drawcord100% polyestermachine washimportedshown: gorge green/pepper red/gold dartstyle: dn0733-341",4.77391304347826,0.0,[],Gorge Green
nike college legacy91 (unc),hat,Grey Heather/Valor Blue,21.97,USD,sweat-wicking shade.the nike college legacy91 (unc) hat features school details on sweat-wicking fabric to help keep you dry and comfortable when chapel hill heats up.benefitsembroidered eyelets and mesh paneling add breathability.adjustable closure lets you customize the fit.product details6-panel design100% polyesterhand washimportedshown: grey heather/valor bluestyle: dj6496-063,4.77391304347826,0.0,[],Grey Heather
nike rewind playback helmet (nfl tennessee titans),men's long-sleeve t-shirt,Navy,55.0,USD,throwback team spirit.the nike rewind playback helmet (nfl tennessee titans) t-shirt is designed with old-school team details and heathered fabric to help you get ready for game day.product details64% cotton/36% polyestermachine washimportedshown: navystyle: nkzf85j8f-0yw,4.77391304347826,0.0,"['S', 'M', 'L', 'XL', '2XL']",Navy
denver nuggets nike x filip pagowski,men's nba t-shirt,White,21.97,USD,"represent your teamthe denver nuggets nike x filip pagowski men's nba t-shirt showcases team pride inspired by famed illustrator filip pagowski. made with pure cotton, it delivers all-day comfort from the stands to the street.product detailsfabric: 100% cottonmachine washimportedshown: whitestyle: 00037746x-dq2",5.0,1.0,[],White
hurley palmdale,boys' board shorts,unknown,40.0,USD,"an essential for beach day.a must-have for beach day, the hurley palmdale board shorts feature a colorful print and a drawcord, so little ones can adjust the fit for fun in the sun.product details97% polyester/3% elastanemachine washimportedshown: style: 883936-u4g",4.77391304347826,0.0,[],unknown
nfl minnesota vikings nike vapor untouchable (randy moss),men's limited football jersey,Purple,160.0,USD,"gridiron look.the nfl minnesota vikings nike vapor untouchable jersey delivers an authentic touch on game day. sweat-wicking technology and sublimated detailing help provide all-day comfort as you rep your favorite player of all time.benefitsnike dri-fit technology helps you stay dry, comfortable and focused.sublimated details add breathability.ventilation over major heat zones helps keep you cool.product detailsstandard fit for a relaxed, easy feelnfl shield at v-necktagless neck labellaser-cut embossed jock tag100% polyestermachine washimportedshown: purplestyle: 32nmmvlhw63-2ta",4.77391304347826,0.0,"['S', 'M', 'L', 'XL']",Purple
air jordan 1 zoom cmft,shoes,Fossil Stone/Fossil Rose/Psychic Purple/White,150.0,USD,"a classic recrafted for comfort.making iconic style even more comfortable. the air jordan 1 zoom cmft remakes the 1st air jordan with lightweight, low-profile cushioning and elements that improve wearability. leathers and textiles in the upper have a broken-in feel. a lined, padded collar cups the heel for a secure fit.benefitsa zoom air unit provides lightweight, responsive cushioning.genuine and synthetic leather and textile materials in the upper for durability.lined, padded collar provides comfort around heel and ankle.product detailsfoam sole with rubber sidewallsrubber tractionsocklinershown: fossil stone/fossil rose/psychic purple/whitestyle: ct0978-201",4.8,120.0,"['M 9 / W 10.5', 'M 9.5 / W 11', 'M 10 / W 11.5', 'M 10.5 / W 12', 'M 11 / W 12.5']",Fossil Stone
nike air pegasus 83 premium,men's shoes,Thunder Blue/Particle Grey/Photo Blue/Black,89.97,USD,"travel first class in the nike air pegasus 83 premium—the callback classic. with a splash of running history, a dash of retro and a whole lot of comfort, it’s your new go-to. a leather and suede upper is easy to style, proving you don’t need a plane to take you places. just lace up and arrive looking fresh.benefitsupper features luscious suede and premium leather for durable style inspired by heritage running.foam midsole with nike air unit in heel delivers lasting comfort.vintage nike air branding on the tongue and backtab adds to the classic '80s aesthetic.low-cut, padded collar looks sleek and feels great.rubber waffle outsole gives you traction and durability.shown: thunder blue/particle grey/photo blue/blackstyle: dx3738-400",4.77391304347826,0.0,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14', '15']",Thunder Blue
nike college (alabama),women's boxy t-shirt,Team Crimson,18.97,USD,"lead with your crimson tide loyalty in this alabama tee, putting proud team graphics in the forefront. follow that up with soft fabric in a boxy design for a roomy feel.product detailsloose fit for a roomy feel50-100% cotton/0-50% polyestermaterial percentages may vary. check label for actual content.machine washimportedshown: team crimsonstyle: dn8781-613",4.77391304347826,0.0,"['XS (0–2)', 'S (4–6)', 'M (8–10)', 'L (12–14)', 'XL (16–18)']",Team Crimson
nike,little kids' jdi hat,Black,18.0,USD,"classic comfort.the nike hat is made with soft cotton twill fabric in a classic 6-panel design for comfortable coverage. the adjustable strap at the back lets little ones find a the perfect fit.product detailscircumference: 19.5"" brim length: 2.5""100% cottonhand washimportedshown: blackstyle: 8a2854-023",4.77391304347826,0.0,[],Black
nike fury,men's printed headband,Black/Smoke Grey,13.97,USD,"the nike fury headband features a wide design and sweat-wicking technology to help you stay dry, comfortable and focused during your workout.benefitsnike dri-fit technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.silicone grips your hair and helps keep the band in place.product detailswidth: 2.5""79% polyester/14% silicone/7% spandexhand washimportedshown: black/smoke greystyle: n1003038-061",4.77391304347826,0.0,[],Black
nike myriad,sunglasses,Black,69.97,USD,"make a statement.bold and contemporary with a nod to vintage glamour, the nike myriad sunglasses feature a durable yet lightweight frame that wears well during all your daily activities.benefits4-base flat lens and slim profile provides everyday coverage.product detailsdurable, high-tension hingeslightweight, durable injected frameshown: blackstyle: ev1153-001",5.0,1.0,[],Black
nike dri-fit crucial catch (nfl buffalo bills),women's pullover hoodie,Black,85.0,USD,"lightweight coverage.the nike dri-fit crucial catch (nfl buffalo bills) hoodie gets you ready for game day with a nod to a great cause. it is equipped with a front pocket for convenient storage on the go.benefitsnike dri-fit technology helps you stay dry, comfortable and focused.the hood and adjustable drawstring help provide extra coverage.product details91% polyester/9% elastanemachine washimportedshown: blackstyle: ns5600azu4-8uq",4.77391304347826,0.0,[],Black
nike air force 1 lv8 utility,big kids' shoes,White/Black/Tour Yellow/White,76.97,USD,"legendary sneaker for a legendary stride.with a nod to the 1982 classic, the nike air force 1 lv8 utility keeps you looking fresh off the court in premium leather.benefitsreal and synthetic leather elevates the look of the '82 classic.encapsulated air-sole unit cushions your step.rubber outsole with pivot point is the same as the original.perforations help enhance ventilation.shown: white/black/tour yellow/whitestyle: ar1708-100",4.77391304347826,0.0,"['W 5.5 / 4Y', 'W 6 / 4.5Y', 'W 6.5 / 5Y']",White
chelsea fc strike,men's nike dri-fit soccer track jacket,Rush Blue/College Navy/White,90.0,USD,"elevate your training.the chelsea fc strike track jacket has design details specifically tailored for soccer’s rising stars. a slim, streamlined fit ensures that nothing comes between you and the ball, and sweat-wicking fabric helps keep you cool and composed while fine-tuning your skills.benefitsnike dri-fit technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.side pockets let you store your essentials.product detailsslim fit for a tailored feel100% polyestermachine washimportedshown: rush blue/college navy/whitestyle: dj8533-495",4.77391304347826,0.0,"['S', 'M', 'L', 'XL', '2XL', '3XL']",Rush Blue
mlb boston red sox,women's replica baseball jersey,Midnight Navy,115.0,USD,loyalty to your team.the mlb boston red sox jersey helps deliver a comfortable fit with its polyester material. it features team details to add authenticity to your look on game day.product details100% polyestermachine washimportedshown: midnight navystyle: t773bqnbbq-xvb,4.77391304347826,0.0,[],Midnight Navy
mlb arizona diamondbacks city connect,men's replica baseball jersey,Team Gold,135.0,USD,loyalty to your city.the mlb arizona diamondbacks city connect jersey helps deliver a comfortable fit with its polyester material. it features an authentic design dedicated to the valley of the sun to help give you an exclusive look on game day.product details100% polyestermachine washimportedshown: team goldstyle: t770dkc2dks-kmj,4.77391304347826,0.0,[],Team Gold
nike college max 90 (gonzaga),men's long-sleeve t-shirt,White,26.97,USD,"show your team loyalty in this long-sleeve gonzaga tee. it has proud bulldogs graphics on soft cotton fabric that helps keep you comfortable—on game day and any other day.benefitsdropped shoulders, longer sleeves and a roomy fit through the body and hips give the max 90 silhouette a relaxed and casual look.everyday cotton fabric feels soft and lightweight.product detailsribbed collar and cuffs100% cottonmachine washimportedshown: whitestyle: dq0753-100",4.77391304347826,0.0,[],White
nike dri-fit,toddler t-shirt and shorts set,Multi-Color,36.0,USD,"fun, easy, dry.the nike dri-fit set includes a sweat-wicking t-shirt and matching knit shorts for a sporty ensemble that's ready for play.benefitsdri-fit technology helps keep little ones dry and comfortable.knit fabric is soft and comfortable.product details100% polyestermachine washimportedshown: multi-colorstyle: 76g104-gae",5.0,1.0,[],Multi-Color
nike therma crucial catch (nfl atlanta falcons),men's pullover hoodie,Black,85.0,USD,"warm, breathable fleece.the nike therma crucial catch (nfl atlanta falcons) hoodie is built with sweat-wicking fleece to help manage your body’s natural heat and keep you warm. the chest is designed with the crucial catch pattern and logo to help strengthen the support of a great cause.benefitsnike therma fabric helps keep you warm.the hood and adjustable drawstring help provide extra coverage.product detailsfront pocket100% polyestermachine washimportedshown: blackstyle: ns5700azu2-8up",4.77391304347826,0.0,"['S', 'M', 'L', 'XL', '2XL']",Black
zion 2,men's basketball shoes,Flax/Sesame/Fauna Brown/Muslin,119.97,USD,"channel your skills in footwear designed for zion williamson and built for ballers at any level. an adjustable strap up top helps lock your foot in while an air-sole unit and firm midsole support high-paced play. make it your number 1 pick for the court.benefitsnike air-sole unit provides lightweight cushioning.zoom air cushioning under the forefoot provides springy, responsive support.textile and synthetic leather in the upper provide structure and durability.foam midsole adds responsive cushioning.padded collar wraps your ankle with a soft touch.rubber tread gives you durable traction.product detailszion williamson's name displayed on the tongue and outsoleadjustable strap over laces for a secure fitjumpman logo on sideplastic shank at midsole for stabilizationshown: flax/sesame/fauna brown/muslinstyle: dv3462-212",4.7,3.0,['8'],Flax
jordan,little kids' hoodie,Atmosphere,33.97,USD,"super cozy and roomy.snuggle up with the jordan fleece hoodie. this pullover is made with all the coziness of supersoft fabric to keep kiddos comfy on their next adventure.benefitslightweight fleece feels super soft and fuzzy on the inside.ribbed cuffs stretch to hold in warmth.hood for added coverage.front pocket for easy stashing.product detailsloose fit for a roomy feel57% cotton, 38% polyester, 5% elastanemachine washimportedshown: atmospherestyle: 35b324-x24",4.77391304347826,0.0,"['4', '5', '6', '6X']",Atmosphere
nike dri-fit sideline velocity lockup (nfl buffalo bills),women's t-shirt,Royal,40.0,USD,"exceptional comfort.the nike dri-fit sideline velocity lockup (nfl buffalo bills) t-shirt combines sweat-wicking technology with a bold team design to help give you a reliable look and feel while on the move.benefitsnike dri-fit technology helps you stay dry, comfortable and focused.jersey fabric has a soft, lightweight feel.product details100% polyestermachine washimportedshown: royalstyle: ns184da81-63s",4.77391304347826,0.0,['XS (0–2)'],Royal
